state,ger,students,universities,faculty,population_18_23,year,students_per_uni,faculty_per_student,enrollment_rate_proxy,universities_per_lakh_population,faculty_per_lakh_population
Meghalaya,25.4,96453.0,11.0,3805.0,380269.2,2021,8768.454545454546,0.03944926544534644,25.364399746285,2.8926876013098086,1000.6069384530749
Mizoram,32.3,46771.0,3.0,2210.0,144921.80000000002,2021,15590.333333333334,0.04725150199910201,32.273267375922735,2.0700819338429413,1524.9603579309667
Nagaland,18.8,51223.0,6.0,2539.0,273077.2,2021,8537.166666666666,0.049567577064990334,18.75769928796692,2.1971808704644693,929.7737050182145
Odisha,22.1,1073879.0,37.0,43730.0,4867000.0,2021,29023.756756756757,0.0407215338040878,22.064495582494352,0.7602219026094102,898.5001027326896
Puducherry,61.5,94643.0,4.0,6594.0,153781.39040593096,2021,23660.75,0.06967234766438088,61.543857647648025,2.60109496307801,4287.9050466341
Punjab,27.4,858744.0,40.0,50992.0,3135000.0,2021,21468.6,0.05937974530244171,27.392153110047847,1.2759170653907497,1626.5390749601274
Rajasthan,28.6,2689340.0,90.0,83192.0,9415000.0,2021,29881.555555555555,0.030933983802717394,28.564418481147108,0.9559214020180563,883.6112586298459
Sikkim,38.6,33761.0,9.0,1509.0,87481.90000000001,2021,3751.222222222222,0.04469654334883445,38.591983027346224,10.287842399399189,1724.928242299264
Telangana,40.0,1596680.0,31.0,84086.0,3993000.0,2021,51505.8064516129,0.052663025778490365,39.98697721011771,0.776358627598297,2105.8352116203355
Tripura,20.7,100551.0,5.0,2505.0,485265.4,2021,20110.2,0.02491273085299997,20.72082617058624,1.030364002873479,516.212365439613
Uttar Pradesh,24.1,6973424.0,91.0,178193.0,28901000.0,2021,76631.03296703297,0.025553157243844632,24.128659907961662,0.31486799764714024,616.563440711394
West Bengal,26.3,2722151.0,58.0,73817.0,10337000.0,2021,46933.637931034486,0.02711715845300279,26.334052433007642,0.5610912256941085,714.1046725355519
